wallet,amount
0xb27696c8f4815ffca1ea6ab6fbb3a05ef1302367,3
0x2be0628ca4cd0105de98c8cc6f8e4ebbf222783a,3
0xf2861b7ca38c3280d414634462915b5531d8830a,3
0x123c3f60c0232b1b7ffdb91d533740697b4e1fd4,3
0xb3fed742c59b04cc6f0a5809491ed58b175a6e6e,3
0xfa5cb3af35aff9e3d2a8dec5b198bdae9492056c,3
0x719ebce67fb7f9a925a4bbec7bf4af63828dc0b9,3
0x4a8b9e2c2940fdd39aceb384654dc59acb58c337,3
0x735c29f1cf438f6b84cce8e206de0498e3f49131,3
0x63b135a7dffd00dd92fe4bd58378cf4b0110f362,3
0x01132178b017130faa839ece506cd17adb5ee95d,3
0xacd19206da1dc219221cbdf46ed4e18320da6999,3
0xb56af40a96ccd495e75960df23b4d4d9afcfd4ac,3
0x964c37fd59a1e1f6f24114ef0583c84fde2a5d9b,3
0x3aedd269fbbefccbc51dc48ac6a9ccd8fcb12dd4,3
0x040e4fc0aad25dd86226d0771dcb4a05badba2b1,3
0x09be9ab0eb61327d26904bae69efdc6633d5eec8,3
0xddab1789e401a41251ae4ca43644c467232a2889,3
0x62352f1a701cff2aeb6b69d6a8cb196887020f22,3
0x9e6a7521ee6bf10e47d16cbd2f679624bdf24bd8,3
0x7902e6f4b4ff3e378efbd6edaa4577dd3dd5f067,3
0x9f8cd169acffbde91bf666d936630e0dbdb50391,3
0xef30fa2138a725523451688279b11216b0505e98,3
0x729fc2d1ed7b062a3f6723c2565932fb4498a77d,3
0x62ebee7d2dbaa9ac9abd4aa55ef26243f554ee8f,3
0xf7bc73b6c191312b16cf99d5f4b23629747ba282,3
0xc40aff3b5d5fbb67d7a80364eefbe8cfc3907de0,3
0x09c74757a7bb4b787748cc6ef33bdc1a299a9493,3
0x3a3b9518b503dad642f4b646987aa9af6b0ff8ff,3
0x0c71fc96146a36baf36ff1befebdfc2cab8e8ebf,3
0x088814aa47878c126c527cf61e40955f38305de3,3
0xf451e2917fa1fec8071a5fe23d9115d74eabc750,3
0xb9137eb316672bde77396da536dc43037dd592fb,3
0xf874b5e1b8a633d17df35456815cea81195cb864,3
0xd4b3aa74be1be41cf78256542d20bf8bf4b89c36,3
0x906a97d37f1f4b600eb379c9d4a4bf316a3c16ff,3
0x535faa541252d9650f1f8a8bbd88709fb8b55a1b,3
0x7ca38bac0a7c2d603e0d877f2c16e6792d7e9ee5,3
0x18581ca5feb996037ce54e675b795c61dff9bb02,3
0xcad5d230367b28664a303f67bb727fb3314f663c,3
0xc59af5b5730fd0d7541af26d5e7f9dd13a514947,3
0x42c8a4e635fa59510fe75a4d37aa7f58776cbaa0,3
0x928c2909847b884ba5dd473568de6382b028f7b8,3
0x1205d4ecce1e364fb34bade9650b870554c52773,3
0x93c6c4773e8ceae55a2ccc3064c4819be86f6e07,3
0xd027bc3a53af237b119650b74a9803f0dfc528d1,3
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,3
0x33d9680d78842b7918cd25d5bf3ef2634ec1e999,3
0x622490faa07566106990b41b4c47ff2d267c6b87,3
0x89601c127395d185f9b40fb53f53d5cf432d1fd1,3
0x58636796ad7013416445eeef41e988aa2fe1ee77,3
0x4437ff6232e662184154a615b4ef441960eb2a25,3
0x819d271cc14568692dbc91b45d8620f76ccdf1b9,3
0x04af6184abf646d5eb786b5c8c397e26e9106b6d,3
0x017252042524df387a7ed994d41d7bde44f4670a,3
0x002509d4fd0060637b48f60de13f24ca94713c7a,2
0xb855c4ebb5b6eb3f2033aecc4e543e27bc39465d,2
0xd3ca7d35c840ba15c48def3eb2a800c4f588558c,2
0x497d55d85955b153c74f6c6740b29dffc0286747,2
0x79b4446ed42027bf1063dc9903e16293ce27b0af,2
0xb238619133248f889fdf9ccdabb00abb9b52bdca,2
0xd4c3ac1c7d8f4259f8ed93335ec5e95ad486265b,2
0x78737732ae34cba60a3f0a6d05feb8fcf6df7a09,2
0x4fe9f62c5e4b4ace6ade92249611080af6e576f7,2
0x6d55f68ecd23829f2986afeda236ba4686c52698,2
0xcdfcb06d537f2513c99eaa3b33f9ea6e0d4311ab,2
0x88adfc5eba1195d163e8d5c90fddee4b0d436af4,2
0x2fe5a92984fbdb93b66e054d816bf753f76357c7,2
0x0033009100ef46b4585949ec68fe7093c7a71ace,2
0xf1d735c0d83c5dba51750539451d423cdbbd16ae,2
0xa7195c71aa20481fa0c093e51323f8a4d3a2f5d2,2
0x9fc1e886d126c893cf6909f258f81cfcffe8084e,2
0x6a8ae076a757fd911302e3f94e9e9cd81bf1610a,2
0x870a1eb1de33ea5269e3a4a68a5c4f87f4756c21,2
0xfcc7b6b1c58557a8d991a652d1e841f45c6793a0,2
0x021a86b9858f6e4150a724d444e94d10cb75c1b1,2
0x6f745bb328a35d81a021c3d38cecd381852aeaf1,2
0x60282772ab3e7f9e71b6eabd698ce4de82a18776,2
